2024-09-08 10:13:36.495 +05:00 [INF] HTTP GET /assets/js/scripts.bundle.js responded 200 in 5.5469 ms
2024-09-08 10:13:36.520 +05:00 [INF] HTTP GET /assets/js/plugins.bundle.js responded 200 in 30.0299 ms
2024-09-08 10:13:36.907 +05:00 [INF] HTTP GET /assets/js/chat.js responded 200 in 2.7660 ms
2024-09-08 10:13:36.907 +05:00 [INF] HTTP GET /assets/js/widgets.js responded 200 in 3.7033 ms
2024-09-08 10:13:36.909 +05:00 [INF] HTTP GET /assets/js/widgets.bundle.js responded 200 in 5.8080 ms
2024-09-08 10:13:36.929 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-regular.woff2 responded 200 in 5.5145 ms
2024-09-08 10:13:36.932 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-500.woff2 responded 200 in 9.0344 ms
2024-09-08 10:13:36.933 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-600.woff2 responded 200 in 8.8771 ms
2024-09-08 10:13:36.937 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-solid-900.woff2 responded 404 in 12.9126 ms
2024-09-08 10:13:36.937 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-regular-400.woff2 responded 404 in 12.5469 ms
2024-09-08 10:13:36.947 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-solid-900.ttf responded 404 in 0.6114 ms
2024-09-08 10:13:36.947 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-regular-400.ttf responded 404 in 0.5579 ms
2024-09-08 10:13:36.966 +05:00 [INF] HTTP GET /assets/fonts/fontawesome/fa-solid-900.woff2 responded 200 in 1.9253 ms
2024-09-08 10:13:36.970 +05:00 [INF] HTTP GET /assets/fonts/fontawesome/fa-regular-400.woff2 responded 200 in 2.8593 ms
2024-09-08 10:13:37.180 +05:00 [INF] HTTP GET /assets/js/chart.umd.js.map responded 404 in 2.4385 ms
2024-09-08 10:13:37.322 +05:00 [INF] HTTP GET /~/assets/media/favicons/favicon.png responded 404 in 3.1555 ms
2024-09-08 10:13:37.355 +05:00 [INF] HTTP GET /~/assets/media//favicons/favicon-192x192.png responded 404 in 3.3344 ms
2024-09-08 10:14:05.945 +05:00 [WRN] Failed to determine the https port for redirect.
2024-09-08 10:14:08.208 +05:00 [INF] HTTP GET /Company/Home/Index responded 200 in 2265.8363 ms
2024-09-08 10:14:08.327 +05:00 [INF] HTTP GET /assets/media/logos/logo-compact.svg responded 404 in 13.6948 ms
2024-09-08 10:14:08.338 +05:00 [INF] HTTP GET /js/global.js responded 200 in 31.8487 ms
2024-09-08 10:14:08.343 +05:00 [INF] HTTP GET /assets/js/lib/jquery.min.js responded 200 in 50.8042 ms
2024-09-08 10:14:08.361 +05:00 [INF] HTTP GET /assets/js/plugins/chart.js/chart.min.js responded 200 in 16.5466 ms
2024-09-08 10:14:08.363 +05:00 [INF] HTTP GET /assets/css/dashmix.min.css responded 200 in 71.5585 ms
2024-09-08 10:14:08.364 +05:00 [INF] HTTP GET /assets/js/dashmix.app.min.js responded 200 in 14.6276 ms
2024-09-08 10:14:08.365 +05:00 [INF] HTTP GET /assets/css/plugins.bundle.css responded 200 in 73.4886 ms
2024-09-08 10:14:08.368 +05:00 [INF] HTTP GET /assets/css/style.bundle.css responded 200 in 76.1469 ms
2024-09-08 10:14:08.390 +05:00 [INF] HTTP GET /assets/js/plugins.bundle.js responded 200 in 17.7608 ms
2024-09-08 10:14:08.440 +05:00 [INF] HTTP GET /assets/js/scripts.bundle.js responded 200 in 4.5904 ms
2024-09-08 10:14:08.990 +05:00 [INF] HTTP GET /assets/js/widgets.bundle.js responded 200 in 8.2109 ms
2024-09-08 10:14:09.005 +05:00 [INF] HTTP GET /assets/js/widgets.js responded 200 in 2.2405 ms
2024-09-08 10:14:09.013 +05:00 [INF] HTTP GET /assets/js/chat.js responded 200 in 2.5805 ms
2024-09-08 10:14:09.068 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-500.woff2 responded 200 in 3.1809 ms
2024-09-08 10:14:09.070 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-regular.woff2 responded 200 in 5.0158 ms
2024-09-08 10:14:09.080 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-600.woff2 responded 200 in 14.1795 ms
2024-09-08 10:14:09.081 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-solid-900.woff2 responded 404 in 15.7020 ms
2024-09-08 10:14:09.081 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-regular-400.woff2 responded 404 in 13.5060 ms
2024-09-08 10:14:09.102 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-solid-900.ttf responded 404 in 0.6747 ms
2024-09-08 10:14:09.102 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-regular-400.ttf responded 404 in 0.7336 ms
2024-09-08 10:14:09.116 +05:00 [INF] HTTP GET /assets/fonts/fontawesome/fa-regular-400.woff2 responded 200 in 2.1635 ms
2024-09-08 10:14:09.117 +05:00 [INF] HTTP GET /assets/fonts/fontawesome/fa-solid-900.woff2 responded 200 in 3.2831 ms
2024-09-08 10:14:09.489 +05:00 [INF] HTTP GET /assets/js/chart.umd.js.map responded 404 in 0.5980 ms
2024-09-08 10:14:09.596 +05:00 [INF] HTTP GET /~/assets/media/favicons/favicon.png responded 404 in 8.9296 ms
2024-09-08 10:14:09.616 +05:00 [INF] HTTP GET /~/assets/media//favicons/favicon-192x192.png responded 404 in 1.8629 ms
2024-09-08 10:14:43.008 +05:00 [WRN] Failed to determine the https port for redirect.
2024-09-08 10:14:45.048 +05:00 [INF] HTTP GET /Company/Home/Index responded 200 in 2042.0037 ms
2024-09-08 10:14:45.155 +05:00 [INF] HTTP GET /assets/media/logos/logo-compact.svg responded 404 in 13.9958 ms
2024-09-08 10:14:45.162 +05:00 [INF] HTTP GET /js/global.js responded 200 in 38.2672 ms
2024-09-08 10:14:45.178 +05:00 [INF] HTTP GET /assets/js/lib/jquery.min.js responded 200 in 65.2767 ms
2024-09-08 10:14:45.188 +05:00 [INF] HTTP GET /assets/js/dashmix.app.min.js responded 200 in 10.4911 ms
2024-09-08 10:14:45.192 +05:00 [INF] HTTP GET /assets/js/plugins/chart.js/chart.min.js responded 200 in 14.4542 ms
2024-09-08 10:14:45.195 +05:00 [INF] HTTP GET /assets/css/dashmix.min.css responded 200 in 84.5446 ms
2024-09-08 10:14:45.211 +05:00 [INF] HTTP GET /assets/css/plugins.bundle.css responded 200 in 105.0176 ms
2024-09-08 10:14:45.211 +05:00 [INF] HTTP GET /assets/css/style.bundle.css responded 200 in 101.9062 ms
2024-09-08 10:14:45.271 +05:00 [INF] HTTP GET /assets/js/scripts.bundle.js responded 200 in 4.8828 ms
2024-09-08 10:14:45.288 +05:00 [INF] HTTP GET /assets/js/plugins.bundle.js responded 200 in 22.0567 ms
2024-09-08 10:14:45.941 +05:00 [INF] HTTP GET /assets/js/chat.js responded 200 in 11.4444 ms
2024-09-08 10:14:45.947 +05:00 [INF] HTTP GET /assets/js/widgets.js responded 200 in 12.1133 ms
2024-09-08 10:14:45.947 +05:00 [INF] HTTP GET /assets/js/widgets.bundle.js responded 200 in 27.7831 ms
2024-09-08 10:14:45.981 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-500.woff2 responded 200 in 2.2914 ms
2024-09-08 10:14:45.981 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-regular.woff2 responded 200 in 4.1576 ms
2024-09-08 10:14:45.984 +05:00 [INF] HTTP GET /assets/fonts/inter/inter-v11-latin-600.woff2 responded 200 in 2.0701 ms
2024-09-08 10:14:45.987 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-regular-400.woff2 responded 404 in 5.3862 ms
